,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm)
66,12/6/2013,11626,14.674000000000001,95296,62
67,12/7/2013,16868,24.381,95334,456
68,12/8/2013,10892,14.17,95354,180
69,12/9/2013,16192,20.537,95401,58
70,12/10/2013,13947,17.766,95418,39
71,12/11/2013,20369,25.839000000000002,95444,93
72,12/12/2013,18552,23.241999999999997,95479,69
73,12/13/2013,19381,25.662,95507,161
74,12/14/2013,3983,5.072,95516,39
75,12/15/2013,8127,10.192,95535,76
76,12/16/2013,16842,21.353,95568,67
77,12/17/2013,8552,11.009,95596,15
78,12/18/2013,16246,21.250999999999998,95628,89
79,12/19/2013,20309,26.954,95662,157
80,12/20/2013,23849,33.51,95687,365
81,12/21/2013,19362,32.36,95723,962
82,12/22/2013,16338,26.291,95765,741
83,12/23/2013,7516,9.407,95793,70
84,12/24/2013,11971,15.562999999999999,95823,175
85,12/25/2013,3523,5.457999999999999,95869,184
86,12/26/2013,10570,13.556,95920,134
87,12/27/2013,12649,17.629,95969,279
88,12/28/2013,12867,21.988000000000003,96005,821
89,12/29/2013,4070,4.986000000000001,96032,104
90,12/30/2013,14222,19.982,96084,336
91,12/31/2013,11349,14.856,96125,237
92,10/1/2014,31197,44612.0,124846,330
93,10/2/2014,38286,60639.0,124959,602
94,10/3/2014,38956,65739.0,125024,1276
95,10/4/2014,15088,24254.0,125058,617
96,10/5/2014,26247,48930.0,125109,1470
97,10/6/2014,35651,56380.0,125203,710
98,10/7/2014,36931,58740.0,125262,593
99,10/8/2014,37870,60594.0,125354,667
100,10/9/2014,36427,57865.0,125407,709
101,10/10/2014,34690,54690.0,125464,905
102,10/11/2014,14805,23278.0,125487,528
103,10/12/2014,26259,52781.0,125529,2083
104,10/13/2014,25616,40275.0,125589,749
105,10/14/2014,36529,61691.0,125651,869
106,10/15/2014,31784,49319.0,125703,506
107,10/16/2014,29845,47808.0,125763,499
108,10/17/2014,37759,64389.0,125816,1180
109,10/18/2014,27634,52554.0,125865,1806
110,10/19/2014,21017,35039.0,125914,1000
111,10/20/2014,30928,48030.0,125968,514
112,10/21/2014,34710,53960.0,126008,539
113,10/22/2014,10402,13894.0,126037,110
114,10/23/2014,14886,20446.0,126062,74
115,10/24/2014,33022,51151.0,126086,722
116,10/25/2014,27802,53881.0,126117,2093
117,10/26/2014,23077,41308.0,126166,1220
118,10/27/2014,31908,49892.0,126229,519
119,10/28/2014,36429,56602.0,126395,628
120,10/29/2014,32944,48378.0,126460,466
121,10/30/2014,34658,52162.0,126487,557
122,10/31/2014,30787,46834.0,126503,653
123,11/1/2014,6739,8703.0,126514,98
124,11/2/2014,15730,23106.0,126527,480
125,11/3/2014,29590,45368.0,126557,568
126,11/4/2014,34612,54306.0,126579,665
127,11/5/2014,33764,52464.0,126611,513
128,11/6/2014,13882,18743.0,126627,98
129,11/7/2014,28053,40163.0,126647,416
130,11/8/2014,19372,31589.0,126659,878
131,11/9/2014,20225,34251.0,126675,952
132,11/10/2014,30616,46768.0,126700,607
133,11/11/2014,32312,49461.0,126719,599
134,11/12/2014,30830,45234.0,126747,325
135,11/13/2014,22798,32395.0,126770,252
136,11/14/2014,23452,33240.0,126783,242
137,11/15/2014,15403,23774.0,126797,522
138,11/16/2014,14544,20645.0,126811,319
139,11/17/2014,8944,11294.0,126823,25
140,11/18/2014,18436,23704.0,126834,78
141,11/19/2014,18211,24052.0,126847,102
142,11/20/2014,22682,30878.0,126858,160
143,11/21/2014,19582,25533.0,126865,131
144,11/22/2014,13838,20211.0,126875,345
145,11/23/2014,17012,27503.0,126886,628
146,11/24/2014,25007,37873.0,126894,374
147,11/25/2014,27889,39495.0,126904,365
148,11/26/2014,4064,4997.0,126908,14
149,11/27/2014,4331,5954.0,126911,74
150,11/28/2014,9157,12743.0,126918,209
151,11/29/2014,8974,12808.0,126924,235
152,11/30/2014,13612,21244.0,126937,449
153,12/1/2014,20398,29977.0,126956,281
154,12/2/2014,16961,22343.0,126970,45
155,12/3/2014,15078,23083.0,126978,65
156,12/4/2014,23442,33077.0,126986,191
157,12/5/2014,17289,23200.0,126992,153
158,12/6/2014,4487,5787.0,127004,59
159,12/7/2014,11404,16007.0,127012,254
160,12/8/2014,17015,21665.0,127024,60
161,12/9/2014,7322,9458.0,127031,18
162,12/10/2014,11476,14590.0,127036,23
163,12/11/2014,19840,27417.0,127041,144
164,12/12/2014,19393,25689.0,127046,151
165,12/13/2014,13760,21276.0,127050,324
166,12/14/2014,13255,19351.0,127058,326
167,12/15/2014,21306,29232.0,127065,186
168,12/16/2014,18653,25116.0,127075,119
169,12/17/2014,22350,30878.0,127085,186
170,12/18/2014,20679,27451.0,127093,119
171,12/19/2014,18696,24828.0,127104,158
172,12/20/2014,10628,13747.0,127116,145
173,12/21/2014,9582,12740.0,127126,170
174,12/22/2014,14849,20321.0,127138,156
175,12/23/2014,10405,13946.0,127146,68
176,12/24/2014,4716,6183.0,127155,36
177,12/25/2014,5354,11023.0,127165,	456	41
178,12/26/2014,10775,17715.0,127183,464
179,12/27/2014,11128,21130.0,127196,58
180,12/28/2014,8719,12978.0,127222,326
181,12/29/2014,14763,22499.0,127244,37
182,12/30/2014,13277,18112.0,127258,214
183,12/31/2014,10450,14560.0,127269,216
184,10/1/2015,34719,55662.0,150933,804
185,10/2/2015,9444,12111.0,150976,65
186,10/3/2015,16564,25241.0,151027,489
187,10/4/2015,30214,59317.0,151167,2005
188,10/5/2015,44581,78665.0,151361,1193
189,10/6/2015,49720,89905.0,151461,1328
190,10/7/2015,50141,89586.0,151579,1211
191,10/8/2015,50179,88959.0,151968,1436
192,10/9/2015,37283,65046.0,152132,1302
193,10/10/2015,39348,87575.0,152260,3864
194,10/11/2015,38967,92607.0,152421,4004
195,10/12/2015,45584,102884.0,153049,2452
196,10/13/2015,49047,101421.0,153382,1235
197,10/14/2015,50000,99751.0,153619,1069
198,10/15/2015,48783,96975.0,153784,1318
199,10/16/2015,46486,93266.0,153866,1522
200,10/17/2015,31811,70864.0,154026,2239
201,10/18/2015,23978,49590.0,154092,1141
202,10/19/2015,36570,66941.0,154422,661
203,10/20/2015,45377,89988.0,154499,1093
204,10/21/2015,49121,100309.0,154626,1339
205,10/22/2015,49604,100026.0,154799,1342
206,10/23/2015,44681,90710.0,154935,1429
207,10/24/2015,31713,71472.0,155028,2254
208,10/25/2015,29289,62798.0,155118,1761
209,10/26/2015,42166,81381.0,155296,1039
210,10/27/2015,44553,83174.0,155445,866
211,10/28/2015,20736,34040.0,155572,128
212,10/29/2015,45359,90367.0,155697,1179
213,10/30/2015,44521,90284.0,155873,1558
214,10/31/2015,31759,70082.0,156005,2206
215,11/1/2015,30622,66939.0,156096,2090
216,11/2/2015,44534,89099.0,156208,1316
217,11/3/2015,49326,100760.0,156301,1567
218,11/4/2015,49487,99144.0,156400,1217
219,11/5/2015,43006,81276.0,156499,849
220,11/6/2015,47162,95321.0,156561,1571
221,11/7/2015,35586,79866.0,156647,2643
222,11/8/2015,32318,73329.0,156743,2361
223,11/9/2015,42262,78410.0,156820,899
224,11/10/2015,21585,34847.0,156963,120
225,11/11/2015,37705,68696.0,157038,712
226,11/12/2015,37319,64556.0,157143,430
227,11/13/2015,38970,70190.0,157226,892
228,11/14/2015,25300,50403.0,157296,1349
229,11/15/2015,25991,54736.0,157392,1497
230,11/16/2015,40916,78389.0,157491,833
231,11/17/2015,38939,68151.0,157570,488
232,11/18/2015,41486,73030.0,157628,498
233,11/19/2015,21890,36884.0,157666,167
234,11/20/2015,38205,71192.0,157702,890
235,11/21/2015,28038,56288.0,157731,1572
236,11/22/2015,23344,44743.0,157781,905
237,11/23/2015,30136,51812.0,157830,382
238,11/24/2015,32218,53981.0,157870,392
239,11/25/2015,30295,55504.0,157893,636
240,11/26/2015,13291,35956.0,157907,1436
241,11/27/2015,22829,51342.0,157929,1859
242,11/28/2015,15832,32196.0,157952,1061
243,11/29/2015,18453,36854.0,157997,888
244,11/30/2015,30221,52674.0,158047,346
245,12/1/2015,18399,29273.0,158067,61
246,12/2/2015,23782,39484.0,158096,138
247,12/3/2015,33917,59184.0,158130,348
248,12/4/2015,34737,61717.0,158157,549
249,12/5/2015,26355,56227.0,158183,1638
250,12/6/2015,24942,52485.0,158214,1321
251,12/7/2015,34139,60929.0,158251,554
252,12/8/2015,35614,59619.0,158284,411
253,12/9/2015,35305,59954.0,158317,355
254,12/10/2015,39099,69925.0,158357,638
255,12/11/2015,39059,72153.0,158388,822
256,12/12/2015,31956,68858.0,158427,2192
257,12/13/2015,32001,72863.0,158468,2470
258,12/14/2015,32518,57195.0,158529,606
259,12/15/2015,38660,67753.0,158572,606
260,12/16/2015,35643,61011.0,158617,436
261,12/17/2015,21960,35033.0,158643,120
262,12/18/2015,30699,51270.0,158671,384
263,12/19/2015,17776,30995.0,158692,527
264,12/20/2015,17029,30624.0,158732,604
265,12/21/2015,29800,54373.0,158772,494
266,12/22/2015,22941,39410.0,158793,274
267,12/23/2015,14817,28228.0,158825,172
268,12/24/2015,18445,35231.0,158844,660
269,12/25/2015,12331,37829.0,158883,2171
270,12/26/2015,13912,30690.0,158933,1021
271,12/27/2015,13176,30096.0,158993,1064
272,12/28/2015,18889,39889.0,159046,756
273,12/29/2015,13347,24451.0,159081,211
274,12/30/2015,22476,43736.0,159148,888
275,12/31/2015,20375,40032.0,159215,1072
276,10/1/2016,39809,91771.0,200544,2017
277,10/2/2016,41018,100425.0,200664,2147
278,10/3/2016,56369,116682.0,200829,1514
279,10/4/2016,60196,123551.0,200954,1035
280,10/5/2016,65031,126942.0,201115,1240
281,10/6/2016,67580,137567.0,201234,1580
282,10/7/2016,65881,142612.0,201369,2398
283,10/8/2016,34624,86818.0,201485,2002
284,10/9/2016,21687,46334.0,201539,713
285,10/10/2016,52248,107487.0,201664,2013
286,10/11/2016,58754,113228.0,201761,1172
287,10/12/2016,57497,119851.0,201880,1170
288,10/13/2016,61209,117523.0,201984,1064
289,10/14/2016,60561,123000.0,202090,1592
290,10/15/2016,51991,138233.0,202215,3904
291,10/16/2016,48866,126550.0,202343,3195
292,10/17/2016,62649,132131.0,202502,1447
293,10/18/2016,68224,143635.0,202653,1656
294,10/19/2016,69758,145347.0,202772,1902
295,10/20/2016,63668,131686.0,202893,1377
296,10/21/2016,40865,80787.0,202960,724
297,10/22/2016,25301,55557.0,203019,658
298,10/23/2016,41462,99878.0,203137,2616
299,10/24/2016,55254,106893.0,203269,1145
300,10/25/2016,52667,96848.0,203349,716
301,10/26/2016,52466,103870.0,203410,809
302,10/27/2016,21054,39660.0,203449,101
303,10/28/2016,46233,89857.0,203492,766
304,10/29/2016,42513,103274.0,203579,2615
305,10/30/2016,37760,107572.0,203697,2971
306,10/31/2016,50071,107875.0,203787,1090
307,11/1/2016,55944,110056.0,203888,868
308,11/2/2016,62133,133258.0,203993,1242
309,11/3/2016,59632,124673.0,204108,943
310,11/4/2016,57867,126507.0,204195,1538
311,11/5/2016,48687,128639.0,204301,3416
312,11/6/2016,39413,104186.0,204428,2293
313,11/7/2016,49883,106484.0,204520,972
314,11/8/2016,56589,123718.0,204616,1137
315,11/9/2016,38050,75883.0,204660,257
316,11/10/2016,50863,111472.0,204728,813
317,11/11/2016,45826,105021.0,204802,1248
318,11/12/2016,34664,86968.0,204865,1916
319,11/13/2016,36806,95679.0,204958,2076
320,11/14/2016,48810,113590.0,205034,728
321,11/15/2016,22884,48797.0,205073,105
322,11/16/2016,53328,107831.0,205170,703
323,11/17/2016,53889,109418.0,205231,711
324,11/18/2016,53370,109802.0,205286,1051
325,11/19/2016,41208,98021.0,205376,2272
326,11/20/2016,20616,45772.0,205407,350
327,11/21/2016,32964,69754.0,205449,148
328,11/22/2016,36723,72592.0,205479,290
329,11/23/2016,34462,73005.0,205501,481
330,11/24/2016,12122,42343.0,205518,641
331,11/25/2016,20980,62444.0,205545,1011
332,11/26/2016,23810,65654.0,205572,1356
333,11/27/2016,24076,74381.0,205607,945
334,11/28/2016,42086,83300.0,205667,485
335,11/29/2016,14584,30989.0,205696,48
336,11/30/2016,24434,52424.0,205729,117
337,12/1/2016,43233,90239.0,205762,389
338,12/2/2016,42358,89092.0,205794,440
339,12/3/2016,29853,70853.0,205824,854
340,12/4/2016,27454,71729.0,205857,930
341,12/5/2016,35927,80214.0,205897,278
342,12/6/2016,33325,67187.0,205939,228
343,12/7/2016,38010,76605.0,205967,270
344,12/8/2016,39621,72219.0,205998,235
345,12/9/2016,33540,63950.0,206021,214
346,12/10/2016,22379,52716.0,206033,490
347,12/11/2016,17798,41740.0,206049,287
348,12/12/2016,29035,58701.0,206066,175
349,12/13/2016,39023,68858.0,206090,299
350,12/14/2016,37799,71798.0,206130,257
351,12/15/2016,25002,45840.0,206145,80
352,12/16/2016,24484,48288.0,206171,139
353,12/17/2016,6993,22363.0,206176,36
354,12/18/2016,16295,38459.0,206200,168
355,12/19/2016,25648,50405.0,206225,119
356,12/20/2016,27677,50408.0,206250,202
357,12/21/2016,30611,55746.0,206270,244
358,12/22/2016,30874,56441.0,206293,302
359,12/23/2016,26335,53318.0,206320,399
360,12/24/2016,8014,28033.0,206334,147
361,12/25/2016,9919,38209.0,206369,1052
362,12/26/2016,10774,32446.0,206400,315
363,12/27/2016,25946,61379.0,206450,960
364,12/28/2016,23596,52937.0,206476,619
365,12/29/2016,13202,29631.0,206503,104
366,12/30/2016,21366,45743.0,206543,641
367,12/31/2016,15925,46810.0,206585,798
368,10/1/2017,55503,139011.0,246193,3511
369,10/2/2017,65509,141748.0,246402,1408
370,10/3/2017,69105,135800.0,246566,1258
371,10/4/2017,71453,150324.0,246742,1377
372,10/5/2017,70173,150437.0,246893,1365
373,10/6/2017,70249,148395.0,247025,2104
374,10/7/2017,63630,153928.0,247206,4996
375,10/8/2017,41039,100790.0,247336,2233
376,10/9/2017,38390,78912.0,247453,594
377,10/10/2017,74117,155978.0,247615,2016
378,10/11/2017,63587,126748.0,247767,1146
379,10/12/2017,61244,123433.0,247896,1070
380,10/13/2017,67016,136608.0,248038,1768
381,10/14/2017,58771,142476.0,248167,3680
382,10/15/2017,56529,137364.0,248382,3381
383,10/16/2017,61729,125800.0,248552,997
384,10/17/2017,64480,122345.0,248712,1030
385,10/18/2017,70233,147842.0,248878,1202
386,10/19/2017,72311,143664.0,249016,1491
387,10/20/2017,72174,157255.0,249162,2246
388,10/21/2017,65872,169402.0,249378,5093
389,10/22/2017,62148,153444.0,249596,4596
390,10/23/2017,69273,143899.0,249825,1659
391,10/24/2017,48077,95599.0,249930,466
392,10/25/2017,71284,142007.0,250090,1133
393,10/26/2017,64002,123419.0,250187,973
394,10/27/2017,69265,139481.0,250319,1991
395,10/28/2017,61345,143571.0,250499,4306
396,10/29/2017,9537,20810.0,250556,213
397,10/30/2017,49246,95502.0,250681,771
398,10/31/2017,60242,115329.0,250892,1076
399,11/1/2017,60772,111304.0,250975,717
400,11/2/2017,70810,144455.0,251060,1485
401,11/3/2017,71817,147055.0,251163,2275
402,11/4/2017,53433,120119.0,251269,3086
403,11/5/2017,34943,76281.0,251349,1263
404,11/6/2017,57606,116318.0,251433,1052
405,11/7/2017,36361,69588.0,251487,643
406,11/8/2017,54211,107852.0,251537,597
407,11/9/2017,58416,113119.0,251591,837
408,11/10/2017,38432,74794.0,251614,425
409,11/11/2017,28142,55350.0,251657,832
410,11/12/2017,32471,73187.0,251699,1191
411,11/13/2017,38752,72112.0,251751,314
412,11/14/2017,52278,95328.0,251802,493
413,11/15/2017,54230,104590.0,251842,524
414,11/16/2017,49737,93532.0,251884,521
415,11/17/2017,48989,93476.0,251928,712
416,11/18/2017,27745,58136.0,251965,872
417,11/19/2017,31597,66078.0,252008,1020
418,11/20/2017,45120,85295.0,252041,501
419,11/21/2017,52448,95288.0,252075,960
420,11/22/2017,32297,69530.0,252103,458
421,11/23/2017,13705,32527.0,252115,806
422,11/24/2017,23723,64012.0,252151,1129
423,11/25/2017,30510,73542.0,252184,1995
424,11/26/2017,27180,60652.0,252227,904
425,11/27/2017,46732,99410.0,252277,553
426,11/28/2017,51166,97329.0,252316,455
427,11/29/2017,55290,107040.0,252365,638
428,11/30/2017,51699,97110.0,252414,509
429,12/1/2017,50708,99868.0,252473,695
430,12/2/2017,38922,83660.0,252514,1513
431,12/3/2017,33728,77915.0,252561,1037
432,12/4/2017,49630,92142.0,252618,649
433,12/5/2017,41792,85008.0,252686,381
434,12/6/2017,46335,87328.0,252724,368
435,12/7/2017,45367,94653.0,252761,427
436,12/8/2017,41330,81217.0,252791,443
437,12/9/2017,10804,20955.0,252811,112
438,12/10/2017,19815,43621.0,252830,287
439,12/11/2017,41838,81071.0,252869,456
440,12/12/2017,42620,88499.0,252915,262
441,12/13/2017,32623,60051.0,252942,155
442,12/14/2017,27494,49648.0,252960,134
443,12/15/2017,22944,41598.0,252980,130
444,12/16/2017,19060,38766.0,252992,240
445,12/17/2017,22403,49790.0,253011,343
446,12/18/2017,40168,79914.0,253054,409
447,12/19/2017,49503,97301.0,253087,541
448,12/20/2017,41461,78833.0,253142,422
449,12/21/2017,37592,70297.0,253180,386
450,12/22/2017,34338,62387.0,253212,506
451,12/23/2017,9608,24205.0,253228,112
452,12/24/2017,13215,37985.0,253250,492
453,12/25/2017,6479,26767.0,253293,439
454,12/26/2017,14113,32919.0,253324,220
455,12/27/2017,16365,31793.0,253346,234
456,12/28/2017,13419,34438.0,253365,121
457,12/29/2017,13759,29284.0,253395,177
458,12/30/2017,5956,13910.0,253407,53
459,12/31/2017,6569,18326.0,253443,94
460,10/1/2018,71387,120257.0,290631,2618
461,10/2/2018,73113,122234.0,290788,2666
462,10/3/2018,76769,129720.0,290947,3141
463,10/4/2018,70698,116337.0,291073,2838
464,10/5/2018,74744,129597.0,291166,3979
465,10/6/2018,57599,110421.0,291298,5658
466,10/7/2018,60753,127033.0,291425,6936
467,10/8/2018,58256,95097.0,291549,2865
468,10/9/2018,74251,123973.0,291672,2846
469,10/10/2018,77317,132255.0,291765,3115
470,10/11/2018,46862,70173.0,291862,1323
471,10/12/2018,67686,113055.0,291962,3453
472,10/13/2018,54747,100652.0,292029,2430
473,10/14/2018,54297,103697.0,292158,4805
474,10/15/2018,59181,92219.0,292262,1958
475,10/16/2018,66661,104171.0,292370,2200
476,10/17/2018,67868,107762.0,292469,2341
477,10/18/2018,61668,94356.0,292519,1969
478,10/19/2018,64735,105730.0,292604,3012
479,10/20/2018,56281,109142.0,292711,5644
480,10/21/2018,39192,64764.0,292811,2488
481,10/22/2018,57919,88293.0,292899,1721
482,10/23/2018,68086,110293.0,292992,2356
483,10/24/2018,64203,98615.0,293077,1942
484,10/25/2018,61637,95827.0,293309,2003
485,10/26/2018,59861,92569.0,293508,2292
486,10/27/2018,13124,17949.0,293542,333
487,10/28/2018,42502,74540.0,293611,3134
488,10/29/2018,60028,92882.0,293722,1853
489,10/30/2018,65545,102834.0,293819,1957
490,10/31/2018,68447,114102.0,294007,2544
491,11/1/2018,74258,1740.0,294111,3288
